Verse,Text
Ps 119:141,ṣāʕîr  ʔānōkî  wə nibzê  piqqudêkā  lō  šākāḥəttî
Ps 119:153,rəʔē  ʕonyî  wə ḥalləṣēnî  kî  tôrātəkā  lō  šākāḥəttî
Ezek 7:16,û pāləṭû  pəlîṭêhem  wə hāyû  ʔel  he hārîm  kə yônê  ha gēʔāyôt  kullām  hōmôt  ʔîš  ba ʕăwōnô
1 Chr 9:40,û ben  yəhônātān  mərîb bāʕal  û mərî baʕal  hôlîd  ʔet  mîkā
Ps 137:8,bat  bābel  ha šədûdā  ʔašrê  še yəšallem  lāk  ʔet  gəmûlēk  še gāmalt  lānû
Gen 10:25,û lə ʕēber  yullad  šənê  bānîm  šēm  hā ʔeḥād  peleg  kî  bə yāmāʸw  nipləgā  hā ʔāreṣ  wə šēm  ʔāḥiʸw  yoqṭān
Gen 43:21,wa yəhî  kî  bānû  ʔel  ha mālôn  wa niptəḥā  ʔet  ʔamtəḥōtênû  wə hinnē  kesep  ʔîš  bə pî  ʔamtaḥtô  kaspēnû  bə mišqālô  wa nāšeb  ʔōtô  bə yādēnû
1 Kgs 8:41,wə gam  ʔel  ha nokrî  ʔăšer  lō  mē ʕamməkā  yiśrāʔēl  hû  û bā  mē ʔereṣ  rəḥôqā  ləmaʕan  šəmekā
Job 37:1,ʔap  l zōt  yeḥĕrad  libbî  w yittar  mi məqômô
Ezek 4:15,wa yōmer  ʔēlay  rəʔē  nātattî  ləkā  ʔet  ṣəpîʕê  ha bāqār  taḥat  gellê  hā ʔādām  wə ʕāśîtā  ʔet  laḥməkā  ʕălêhem
1 Sam 17:44,wa yōmer  ha pəlištî  ʔel  dāwid  ləkā  ʔēlay  wə ʔettənā  ʔet  bəśārəkā  lə ʕôp  ha šāmayim  û lə bêĕmat  ha śādê
Isa 29:3,wə ḥānîtî  ka  dûr  ʕālāyik  wə ṣartî  ʕālayik  muṣṣāb  wa hăqîmōtî  ʕālayik  məṣurōt
Gen 36:23,wə ʔēllê  bənê  šôbāl  ʕalwān  û mānaḥat  wə ʕêbāl  šəpô  wə ʔônām
1 Sam 19:16,wa yābōʔû  ha malʔākîm  wə hinnē  ha tərāpîm  ʔel  ha miṭṭā  û kəbîr  hā ʕizzîm  məraʔăšōtāʸw
Gen 41:6,wə hinnē  šebaʕ  šibbᵒlîm  daqqôt  û šədûpōt  qādîm  ṣōməḥôt  ʔaḥărêhen
Ezek 27:11,bənê  ʔarwad  wə ḥêlēk  ʕal  ḥômôtayik  sābîb  wə gammādîm  bə migdəlôtayik  hāyû  šilṭêhem  tillû  ʕal  ḥômôtayik  sābîb  hēmmā  kāləlû  yopyēk
Isa 21:9,wə hinnē  zê  bā  rekeb  ʔîš  ṣemed  pārāšîm  wa yaʕan  wa yōmer  nāpəlā  nāpəlā  bābel  wə kol  pəsîlê  ʔĕlōhêhā  šibbar  lā  ʔāreṣ
2 Kgs 15:2,ben  šēš  ʕeśrē  šānā  hāyā  bə māləkô  wa ḥămiššîm  û šəttayim  šānā  mālak  bi yrûšālāim  wə šēm  ʔimmô  yəkolyāhû  mi yrûšālāim
Song_of_songs 4:5,šənê  šādayik  ki šənê  ʕᵒpārîm  təʔômê  ṣəbiyyā  hā rôʕîm  ba  šôšannîm
2 Sam 23:19,min  ha šəlōšā  hă kî  nikbād  wa yəhî  lāhem  lə śār  wə ʕad  ha šəlōšā  lō  bā
Prov 24:6,kî  b taḥbulôt  taʕăśê  ləkā  milḥāmā  û təšûʕā  bə rōb  yôʕēṣ
Jer 44:25,kō  ʔāmar  yəhwāh  ṣəbāʔôt  ʔĕlōhê  yiśrāʔēl  lē ʔmōr  ʔattem  û nəšêkem  wa tədabbērənā  bə pîkem  û bi ydêkem  millētem  lē ʔmōr  ʕāśō  naʕăśê  ʔet  nədārênû  ʔăšer  nādarnû  lə qaṭṭēr  li məleket  ha šāmayim  û lə hassēk  lāh  nəsākîm  hāqêm  tāqîmənā  ʔet  nidrêkem  wə ʕāśō  taʕăśênā  ʔet  nidrêkem
Gen 17:26,bə ʕeṣem  ha yôm  ha zê  nimmôl  ʔabrāhām  wə yišmāʕēl  bənô
2 Sam 12:10,wə ʕattā  lō  tāsûr  ḥereb  mi bêtəkā  ʕad  ʕôlām  ʕēqeb  kî  bəzitānî  wa tiqqaḥ  ʔet  ʔēšet  ʔûriyyā  ha ḥittî  li həyôt  ləkā  lə ʔiššā
2 Sam 2:8,wə ʔabnēr  ben  nēr  śar  ṣābā  ʔăšer  lə šāʔûl  lāqaḥ  ʔet  ʔîš bōšet  ben  šāʔûl  wa yaʕăbirēhû  maḥănāyim
Ps 144:8,ʔăšer  pîhem  dibber  šāwə  wi ymînām  yəmîn  šāqer
Lev 23:31,kol  məlākā  lō  taʕăśû  ḥuqqat  ʕôlām  lə dōrōtêkem  bə kōl  mōšəbōtêkem
Ps 78:37,w libbām  lō  nākôn  ʕimmô  wə lō  neʔemnû  bi bərîtô
Ps 139:12,gam  ḥōšek  lō  yaḥšîk  mimmekā  w laylā  ka  yôm  yāʔîr  ka  ḥăšêkā  kā  ʔôrā
Josh 1:11,ʕibrû  bə qereb  ha maḥănê  wə ṣaûû  ʔet  hā ʕām  lē ʔmōr  hākînû  lākem  ṣêdā  kî  bə ʕôd  šəlōšet  yāmîm  ʔattem  ʕōbərîm  ʔet  ha yardēn  ha zê  lā bô  lā rešet  ʔet  hā ʔāreṣ  ʔăšer  yəhwāh  ʔĕlōhêkem  nōtēn  lākem  lə rištāh
Exod 23:8,wə šōḥad  lō  tiqqāḥ  kî  ha šōḥad  yəʕawwēr  piqḥîm  wi ysallēp  dibrê  ṣaddîqîm
Ps 107:8,yôdû  la yhwāh  ḥasdô  w nipləʔôtāʸw  li bənê  ʔādām
1 Kgs 2:45,wə ha melek  šəlōmō  bārûk  wə kissē  dāwid  yihyê  nākôn  li pənê  yəhwāh  ʕad  ʕôlām
Jud 13:6,wa tābō  hā ʔiššā  wa tōmer  lə ʔîšāh  lē ʔmōr  ʔîš  hā ʔĕlōhîm  bā  ʔēlay  û marʔēhû  kə marʔē  malʔak  hā ʔĕlōhîm  nôrā  məʔōd  wə lō  šəʔiltîhû  ʔê  mi zê  hû  wə ʔet  šəmô  lō  higgîd  lî
Gen 37:31,wa yiqḥû  ʔet  kətōnet  yôsēp  wa yišḥăṭû  śəʕîr  ʕizzîm  wa yiṭbəlû  ʔet  ha kuttōnet  ba  dām
Gen 2:22,wa yiben  yəhwāh  ʔĕlōhîm  ʔet  ha ṣēlāʕ  ʔăšer  lāqaḥ  min  hā ʔādām  lə ʔiššā  wa yəbiʔêā  ʔel  hā ʔādām
Lev 23:24,dabbēr  ʔel  bənê  yiśrāʔēl  lē ʔmōr  ba  ḥōdeš  ha šəbîʕî  bə ʔeḥād  la  ḥōdeš  yihyê  lākem  šabbātôn  zikrôn  tərûʕā  miqrā  qōdeš
1 Kgs 10:7,wə lō  heʔĕmantî  la  dəbārîm  ʕad  ʔăšer  bātî  wa tirʔênā  ʕênay  wə hinnē  lō  huggad  lî  ha ḥēṣî  hôsaptā  ḥokmā  wā ṭôb  ʔel  ha šəmûʕā  ʔăšer  šāmāʕəttî
Lev 16:12,wə lāqaḥ  məlō  ha maḥtā  gaḥălê  ʔēš  mē ʕal  ha mizbēaḥ  mi li pənê  yəhwāh  û məlō  ḥopnāʸw  qəṭōret  sammîm  daqqā  wə hēbî  mi bêt  la  pārōket
Zeph 3:6,hikrattî  gôyim  nāšammû  pinnôtām  heḥĕrabtî  ḥûṣôtām  mi bəlî  ʕôbēr  niṣdû  ʕārêhem  mi bəlî  ʔîš  mē ʔên  yôšēb
1 Kgs 8:58,lə haṭṭôt  ləbābēnû  ʔēlāʸw  lā leket  bə kol  dərākāʸw  wə li šəmōr  miṣwōtāʸw  wə ḥuqqāʸw  û mišpāṭāʸw  ʔăšer  ṣiwwā  ʔet  ʔăbōtênû
1 Sam 23:4,wa yôsep  ʕôd  dāwid  li šəʔōl  ba yhwāh wa yaʕănēhû  yəhwāh  wa yōmer  qûm  rēd  qəʕîlā  kî  ʔănî  nōtēn  ʔet  pəlištîm  bə yādekā
Jud 20:22,wa yitḥazzēq  hā ʕām  ʔîš  yiśrāʔēl  wa yōsipû  la ʕărōk  milḥāmā  ba  māqôm  ʔăšer  ʕārəkû  šām  ba  yôm  hā rišôn
Deut 26:17,ʔet  yəhwāh  heʔĕmartā  ha yôm  li həyôt  ləkā  lē ʔlōhîm  wə lā leket  bi dərākāʸw  wə li šəmōr  ḥuqqāʸw  û miṣwōtāʸw  û mišpāṭāʸw  wə li šəmōaʕ  bə qōlô
Isa 3:12,ʕammî  nōgəśāʸw  məʕôlēl  wə nāšîm  māšəlû  bô  ʕammî  məʔaššərêkā  matʕîm  wə derek  ʔōrəḥōtêkā  billēʕû
Ps 59:4,kî  hinnē  ʔārəbû  lə napšî  yāgûrû  ʕālay  ʕazîm  lō  pišʕî  wə lō  ḥaṭṭātî  yəhwāh
Exod 34:32,wə ʔaḥărê  kēn  niggəšû  kol  bənê  yiśrāʔēl  wa yəṣawwēm  ʔēt  kol  ʔăšer  dibber  yəhwāh  ʔittô  bə har  sînāy
1 Chr 22:1,wa yōmer  dāwîd  zê  hû  bêt  yəhwāh  hā ʔĕlōhîm  wə zê  mizbēaḥ  lə ʕōlā  lə yiśrāʔēl
Gen 21:7,wa tōmer  mî  millēl  lə ʔabrāhām  hênîqā  bānîm  śārā  kî  yāladtî  bēn  li zəqunāʸw
Prov 19:23,yirʔat  yəhwāh  lə ḥayyîm  wə śābēaʕ  yālîn  bal  yippāqed  rāʕ
Ezra 2:61,û mi bənê  ha kōhănîm  bənê  ḥᵒbayyā  bənê  ha qôṣ  bənê  barzillay  ʔăšer  lāqaḥ  mi bənôt  barzillay  ha gilʕādî  ʔiššā  wa yiqqārē  ʕal  šəmām
Isa 12:2,hinnē  ʔēl  yəšûʕātî  ʔebṭaḥ  wə lō  ʔepḥād  kî  ʕozzî  wə zimrāt  yāh  yəhwāh  wa yəhî  lî  li yšûʕā
Song_of_songs 3:4,ki məʕaṭ  še ʕābartî  mēhem  ʕad  še māṣātî  ʔēt  še ʔāhăbā  napšî  ʔăḥaztiʸw  wə lō  ʔarpennû  ʕad  še hăbêtiʸw  ʔel  bêt  ʔimmî  wə ʔel  ḥeder  hôrātî
Job 20:18,mēšîb  yogoʕ  wə lō  yiblāʕ  kə ḥêl  təmûrātô  wə lō  yaʕălōs
Ezek 28:11,wa yəhî  dəbar  yəhwāh  ʔēlay  lē ʔmōr
Ps 139:17,wə lî  mah  yāqərû  rēʕêkā  ʔēl  mê  ʕāṣəmû  rāšêhem
Ezek 3:14,wə rûaḥ  nəśāʔatnî  wa tiqqāḥēnî  wā ʔēlēk  mar  ba ḥămat  rûḥî  wə yad  yəhwāh  ʕālay  ḥāzāqā
Zeph 3:4,nəbîʔêhā  pōḥăzîm  ʔanšê  bōgədôt  kōhănêhā  ḥilləlû  qōdeš  ḥāməsû  tôrā
Gen 5:29,wa yiqrā  ʔet  šəmô  nōaḥ  lē ʔmōr  zê  yənaḥămēnû  mi maʕăśēnû  û mē ʕiṣṣəbôn  yādênû  min  hā ʔădāmā  ʔăšer  ʔērərāh  yəhwāh
Zech 12:5,wə ʔāmərû  ʔallupê  yəhûdā  bə libbām  ʔamṣā  lî  yōšəbê  yərûšālaim  ba yhwāh  ṣəbāʔôt  ʔĕlōhêhem
1 Kgs 7:40,wa yaʕaś  ḥîrôm  ʔet  ha kiyyōrôt  wə ʔet  ha yāʕîm  wə ʔet  ha mizrāqôt  wa yəkal  ḥîrām  la ʕăśôt  ʔet  kol  ha məlākā  ʔăšer  ʕāśā  la  melek  šəlōmō  bêt  yəhwāh
2 Sam 17:7,wa yōmer  ḥûšay  ʔel  ʔabšālôm  lō  ṭôbā  hā ʕēṣā  ʔăšer  yāʕaṣ  ʔăḥîtōpel  ba  paʕam  ha zōt
Jud 1:24,wa yirʔû  ha šōmərîm  ʔîš  yôṣē  min  hā ʕîr  wa yōmərû  lô  harʔēnû  nā  ʔet  məbô  hā ʕîr  wə ʕāśînû  ʕimməkā  ḥāsed
Zech 11:10,wā ʔeqqaḥ  ʔet  maqlî  ʔet  nōʕam  wā ʔegdaʕ  ʔōtô  lə hāpêr  ʔet  bərîtî  ʔăšer  kārattî  ʔet  kol  hā ʕammîm
Prov 30:1,dibrê  ʔāgûr  bin  yāqê  ha maśśā  nəʔum  ha geber  lə ʔîtîʔēl  lə ʔîtîʔēl  wə ʔukāl
Jer 18:23,wə ʔattā  yəhwāh  yādaʕtā  ʔet  kol  ʕăṣātām  ʕālay  la  māwet  ʔal  təkappēr  ʕal  ʕăwōnām  wə ḥaṭṭātām  mi lə pānêkā  ʔal  temḥî  wə yihyû  mukšālîm  lə pānêkā  bə ʕēt  ʔappəkā  ʕăśē  bāhem
Ps 44:24,ʕûrā  lāmmā  tîšan  ʔădōnāy  hāqîṣā  ʔal  tiznaḥ  lā neṣaḥ
Jud 13:24,wa tēled  hā ʔiššā  bēn  wa tiqrā  ʔet  šəmô  šimšôn  wa yigdal  ha naʕar  wa yəbārəkēhû  yəhwāh
Josh 22:28,wa nōmer  wə hāyā  kî  yōmərû  ʔēlênû  wə ʔel  dōrōtênû  māḥār  wə ʔāmarnû  rəʔû  ʔet  tabnît  mizbaḥ  yəhwāh  ʔăšer  ʕāśû  ʔăbôtênû  lō  lə ʕôlā  wə lō  lə zebaḥ  kî  ʕēd  hû  bênênû  û bênêkem
Num 18:25,wa yədabbēr  yəhwāh  ʔel  mōšê  lē ʔmōr
Hab 2:19,hôy  ʔōmēr  lā  ʕēṣ  hāqîṣā  ʕûrî  lə ʔeben  dûmām  hû  yôrê  hinnē  hû  tāpûś  zāhāb  wā kesep  wə kol  rûaḥ  ʔên  bə qirbô
Ps 89:3,kî  ʔāmartî  ʕôlām  ḥesed  yibbānê  šāmayim  tākin  ʔĕmûnātəkā  bāhem
Ezek 34:8,ḥay  ʔānî  nəʔum  ʔădōnāy  yəhwih  ʔim  lō  yaʕan  hĕʸôt  ṣōnî  lā baz  wa tihyênā  ṣōnî  lə ʔoklā  lə kol  ḥayyat  ha śādê  mē ʔên  rōʕê  wə lō  dārəšû  rōʕay  ʔet  ṣōnî  wa yirʕû  hā rōʕîm  ʔôtām  wə ʔet  ṣōnî  lō  rāʕû
Deut 20:18,ləmaʕan  ʔăšer  lō  yəlammədû  ʔetəkem  la ʕăśôt  kə kōl  tôʕăbōtām  ʔăšer  ʕāśû  lē ʔlōhêhem  wa ḥăṭātem  la yhwāh  ʔĕlōhêkem
1 Chr 11:47,ʔĕlîʔēl  wə ʕôbēd  wə yaʕăśîʔēl  ha məṣōbāyā
Ps 119:24,gam  ʕēdōtêkā  šaʕăšuʕāy  ʔanšê  ʕăṣātî
Exod 16:15,wa yirʔû  bənê  yiśrāʔēl  wa yōmərû  ʔîš  ʔel  ʔāḥiʸw  mān  hû  kî  lō  yādəʕû  mah  hû  wa yōmer  mōšê  ʔălēhem  hû  ha leḥem  ʔăšer  nātan  yəhwāh  lākem  lə ʔoklā
2 Chr 34:2,wa yaʕaś  ha yāšār  bə ʕênê  yəhwāh  wa yēlek  bə darəkê  dāwîd  ʔābiʸw  wə lō  sār  yāmîn  û śəmôl
Ezek 16:32,hā ʔiššā  ha mənāʔāpet  taḥat  ʔîšāh  tiqqaḥ  ʔet  zārîm
Num 1:5,wə ʔēllê  šəmôt  hā ʔănāšîm  ʔăšer  yaʕamədû  ʔittəkem  li rəʔûbēn  ʔĕlîṣûr  ben  šədêʔûr
Isa 65:2,pēraśtî  yāday  kol  ha yôm  ʔel  ʕam  sôrēr  ha hōləkîm  ha derek  lō  ṭôb  ʔaḥar  maḥšəbōtêhem
Ps 61:2,šimʕā  ʔĕlōhîm  rinnātî  haqšîbā  təpillātî
Jer 44:7,wə ʕattā  kō  ʔāmar  yəhwāh  ʔĕlōhê  ṣəbāʔôt  ʔĕlōhê  yiśrāʔēl  lāmā  ʔattem  ʕōśîm  rāʕā  gədôlā  ʔel  napšōtēkem  lə hakrît  lākem  ʔîš  wə ʔiššā  ʕôlēl  wə yônēq  mi tôk  yəhûdā  lə biltî  hôtîr  lākem  šəʔērît
Josh 24:24,wa yōmərû  hā ʕām  ʔel  yəhôšuaʕ  ʔet  yəhwāh  ʔĕlōhênû  naʕăbōd  û bə qôlô  nišmāʕ
Neh 8:7,wə yēšûaʕ  û bānî  wə šērēbəyā  yāmîn  ʕaqqûb  šabbətay  hôdiyyā  maʕăśêā  qəlîṭā  ʕăzaryā  yôzābād  ḥānān  pəlāyā  wə ha ləwiyyim  məbînîm  ʔet  hā ʕām  la  tôrā  wə hā ʕām  ʕal  ʕāmədām
Job 17:10,wə ʔûlām  kullām  tāšubû  û bōʔû  nā  wə lō  ʔemṣā  bākem  ḥākām
Lev 11:26,lə kol  ha bəhēmā  ʔăšer  hiw  mapreset  parsā  wə šesaʕ  ʔênennā  šōsaʕat  wə gērā  ʔênennā  maʕălā  ṭəmēʔîm  hēm  lākem  kol  ha nōgēaʕ  bāhem  yiṭmā
2 Chr 32:22,wa yôšaʕ  yəhwāh  ʔet  yəḥizqiyyāhû  wə ʔēt  yōšəbê  yərûšālaim  mi yad  sanḥērîb  melek  ʔaššûr  û mi yad  kōl  wa yənahălēm  mi sābîb
Jer 39:10,û min  hā ʕām  ha dallîm  ʔăšer  ʔên  lāhem  məʔûmā  hišʔîr  nəbûzarʔădān  rab  ṭabbāḥîm  bə ʔereṣ  yəhûdā  wa yittēn  lāhem  kərāmîm  wi ygēbîm  ba  yôm  ha hû
1 Chr 2:30,û bənê  nādāb  seled  wə ʔappāyim  wa yāmot  seled  lō  bānîm
Prov 31:30,šeqer  ha ḥēn  wə hebel  ha yōpî  ʔiššā  yirʔat  yhwāh  hî  tithallāl
Gen 48:6,û môladtəkā  ʔăšer  hôladtā  ʔaḥărêhem  ləkā  yihyû  ʕal  šēm  ʔăḥêhem  yiqqārəʔû  bə naḥălātām
1 Sam 8:1,wa yəhî  ka ʔăšer  zāqēn  šəmûʔēl  wa yāśem  ʔet  bānāʸw  šōpəṭîm  lə yiśrāʔēl
Exod 23:24,lō  tištaḥăwê  lē ʔlōhêhem  wə lō  tāʕābədēm  wə lō  taʕăśê  kə maʕăśêhem  kî  hārēs  təhārəsēm  wə šabbēr  təšabbēr  maṣṣēbōtêhem
1 Kgs 20:20,wa yakkû  ʔîš  ʔîšô  wa yānusû  ʔărām  wa yirdəpēm  yiśrāʔēl  wa yimmālēṭ  ben hădad  melek  ʔărām  ʕal  sûs  û pārāšîm
Ps 34:10,yərʔû  ʔet  yəhwāh  qədōšāʸw  kî  ʔên  maḥsôr  li yrēʔāʸw
Lev 4:17,wə ṭābal  ha kōhēn  ʔeṣbāʕô  min  ha dām  wə hizzā  šebaʕ  pəʕāmîm  li pənê  yəhwāh  ʔēt  pənê  ha pārōket
Deut 4:43,ʔet  beṣer  ba  midbār  bə ʔereṣ  ha mîšōr  lā  ruʔûbēnî  wə ʔet  rāmōt  ba  gilʕād  la  gādî  wə ʔet  gôlān  ba  bāšān  la  mənaššî
Prov 11:10,bə ṭûb  ṣaddîqîm  taʕălōṣ  qiryā  û ba ʔăbōd  rəšāʕîm  rinnā
Neh 13:10,wā ʔēdəʕā  kî  mənāyôt  ha ləwiyyim  lō  nittānā  wa yibrəḥû  ʔîš  lə śādēhû  ha ləwiyyim  wə ha məšōrərîm  ʕōśê  ha məlākā
Jer 23:7,lākēn  hinnē  yāmîm  bāʔîm  nəʔum  yəhwāh  wə lō  yōmərû  ʕôd  ḥay  yəhwāh  ʔăšer  heʕĕlā  ʔet  bənê  yiśrāʔēl  mē ʔereṣ  miṣrāyim
Ps 39:6,hinnē  ṭəpāḥôt  nātattā  yāmay  wə ḥeldî  kə ʔayin  negdekā  ʔak  kol  hebel  kol  ʔādām  niṣṣāb  selā
Zech 9:2,wə gam  ḥămāt  tigbol  bāh  ṣōr  wə ṣîdôn  kî  ḥākəmā  məʔōd
2 Chr 14:7,wa yəhî  lə ʔāsā  ḥayil  nōśē  ṣinnā  wā rōmaḥ  mi yhûdā  šəlōš  mēʔôt  ʔelep û mi binyāmin  nōśəʔê  māgēn  wə dōrəkê  qešet  mātayim  û šəmônîm  ʔālep  kol  ʔēllê  gibbôrê  ḥāyil
Exod 40:20,wa yiqqaḥ  wa yittēn  ʔet  hā ʕēdut  ʔel  hā ʔārōn  wa yāśem  ʔet  ha baddîm  ʕal  hā ʔārōn  wa yittēn  ʔet  ha kappōret  ʕal  hā ʔārōn  mi lə māʕəlā
Num 16:25,wa yāqom  mōšê  wa yēlek  ʔel  dātān  wa ʔăbîrām  wa yēləkû  ʔaḥărāʸw  ziqnê  yiśrāʔēl
Prov 25:19,šēn  rōʕā  wə regel  mûʕādet  mibṭāḥ  bôgēd  bə yôm  ṣārā
2 Chr 6:28,rāʕāb  kî  yihyê  bā  ʔāreṣ  deber  kî  yihyê  šiddāpôn  wə yērāqôn  ʔarbê  wə ḥāsîl  kî  yihyê  kî  yāṣar  lô  ʔôyəbāʸw  bə ʔereṣ  šəʕārāʸw  kol  negaʕ  wə kol  maḥălā
Lev 20:10,wə ʔîš  ʔăšer  yinʔap  ʔet  ʔēšet  ʔîš  ʔăšer  yinʔap  ʔet  ʔēšet  rēʕēhû  môt  yûmat  ha nōʔēp  wə ha nōʔāpet
Josh 22:21,wa yaʕănû  bənê  rəʔûbēn  û bənê  gād  wa ḥăṣî  šēbeṭ  ha mənaššê  wa yədabbərû  ʔet  rāšê  ʔaləpê  yiśrāʔēl
Exod 30:30,wə ʔet  ʔahărōn  wə ʔet  bānāʸw  timšāḥ  wə qiddaštā  ʔōtām  lə kahēn  lî
Exod 19:15,wa yōmer  ʔel  hā ʕām  hĕʸû  nəkōnîm  li šəlōšet  yāmîm  ʔal  tiggəšû  ʔel  ʔiššā
Hos 9:10,ka ʕănābîm  ba  midbār  māṣātî  yiśrāʔēl  kə bikkûrā  bi təʔēnā  bə rēšîtāh  rāʔîtî  ʔăbôtêkem  hēmmā  bāʔû  baʕal pəʕôr  wa yinnāzərû  la  bōšet  wa yihyû  šiqqûṣîm  kə ʔohᵒbām
Josh 9:24,wa yaʕănû  ʔet  yəhôšuaʕ  wa yōmərû  kî  huggēd  huggad  la ʕăbādêkā  ʔēt  ʔăšer  ṣiwwā  yəhwāh  ʔĕlōhêkā  ʔet  mōšê  ʕabdô  lā tēt  lākem  ʔet  kol  hā ʔāreṣ  û lə hašmîd  ʔet  kol  yōšəbê  hā ʔāreṣ  mi pənêkem  wa nîrā  məʔōd  lə napšōtênû  mi pənêkem  wa naʕăśē  ʔet  ha dābār  ha zê
Exod 20:4,lō  taʕăśê  ləkā  pesel  wə kol  təmûnā  ʔăšer  ba  šāmayim  mi maʕal  wa ʔăšer  bā  ʔāreṣ  mi tāaḥat  wa ʔăšer  ba  mayim  mi taḥat  lā  ʔāreṣ
